Player ID,Player,Team,Rounds Played,KD,Rating,,,,,,,,,,,,,
52,Smoggy,EDG,358,0.98,0.94,,,,,,,,,,,0.976572821,5.046000172,6.754664439
53,Zyppan,NAVI,204,0.88,0.93,,,,,,,,,,,2.142403941,4.991742105,6.684303351
54,Boostio,EG,459,0.87,0.93,,,,,,,,,,,0.976572821,5.100258238,6.684303351
55,Dep,ZETA,79,1.08,0.93,,,,,,,,,,,2.710178838,5.317290503,6.613942263
56,Lysoar,FPX,85,0.95,0.92,,,,,,,,,,,1.544347717,4.77470984,6.543581175
57,FiNESSE,NRG,130,0.72,0.91,,,,,,,,,,,3.474782364,4.720451773,6.543581175
58,Biank,BLG,237,0.89,0.9,,,,,,,,,,,0.598056224,5.859871167,6.543581175
59,Knight,BLG,237,0.91,0.9,,,,,,,,,,,0.643478216,5.154516304,6.473220087
60,Haodong,EDG,358,0.83,0.89,,,,,,,,,,,0.984143153,3.906580778,6.402859
61,Yuicaw,FPX,85,0.87,0.89,,,,,,,,,,,1.794168672,4.828967906,6.332497912
62,Rb,DRX,283,0.85,0.89,,,,,,,,,,,1.794168672,4.937484039,6.332497912
63,nukkye,GIA,161,0.88,0.89,,,,,,,,,,,2.710178838,4.503419508,6.262136824
64,qw1,FUT,216,0.93,0.88,,,,,,,,,,,0.643478216,4.720451773,6.262136824
65,ban,T1,129,0.82,0.85,,,,,,,,,,,2.142403941,4.611935641,6.262136824
66,ANGE1,NAVI,204,0.75,0.84,,,,,,,,,,,1.218823444,4.77470984,6.262136824
67,NagZ,KR†,90,0.72,0.83,,,,,,,,,,,1.635191701,5.046000172,6.191775736
68,rin,BLG,237,0.73,0.82,,,,,,,,,,,0.976572821,4.449161442,5.980692472
69,soulcas,TL,92,0.76,0.82,,,,,,,,,,,1.544347717,4.069354977,5.910331384
70,Klaus,KR†,90,0.71,0.79,,,,,,,,,,,0.681329875,3.906580778,5.839970296
71,Redgar,TL,92,0.69,0.76,,,,,,,,,,,1.794168672,3.960838844,5.769609208
72,nizhaoTZH,FPX,85,0.71,0.76,,,,,,,,,,,0.696470539,4.123613043,5.769609208
73,Melser,KR†,90,0.64,0.75,,,,,,,,,,,0.681329875,3.852322712,5.558525945
74,Jamppi,TL,92,0.85,0.72,,,,,,,,,,,0.696470539,3.743806579,5.347442681
75,Carpe,T1,129,0.68,0.72,,,,,,,,,,,0.643478216,3.852322712,5.347442681
76,BerLIN,FPX,85,0.6,0.71,,,,,,,,,,,0.681329875,3.472516247,5.277081593
77,SugarZ3ro,ZETA,79,0.66,0.67,,,,,,,,,,,0.696470539,4.611935641,5.065998329
78,Laz,ZETA,79,0.8,0.66,,,,,,,,,,,0.976572821,3.689548512,5.065998329
79,TENNN,ZETA,79,0.67,0.62,,,,,,,,,,,0.643478216,3.255483982,4.995637241
80,crow,ZETA,79,0.48,0.51,,,,,,,,,,,0.598056224,3.58103238,4.71419289
,,,,,,,,,,,,,,,,0.598056224,4.340645309,4.643831802
,,,,,,,,,,,,,,,,0.598056224,3.635290446,4.36238745
,,,,,,,,,,,,,,,,0.598056224,2.604387185,3.588415483
